#SampleID	faith_pd
114-1002.4	13.93069967705417
114-1002.7	13.10224831444242
114-1003.7	33.49161876286902
114-1004.1	11.14550576031407
114-1004.4	30.43247223286524
114-1004.5	12.03470925862117
114-1005.4	14.24197220702058
114-1005.6	12.63975868627758
114-1005.7	42.33841116782047
116-1001.2	17.8832773900149
116-1001.3	15.94984526730622
116-1001.6	14.10913761227084
116-1002.3	7.877969973440827
116-1002.5	13.6370248756761
116-1002.7	16.88186236339056
116-1003.4	11.03385232261678
116-1003.5	15.18712847959404
116-1003.U	17.69638350961566
116-1004.1	20.39747207082603
116-1004.3	8.183302201065146
116-1004.7	26.94982404996974
116-1006.5	18.81691401352494
116-1006.U	22.31925211141318
116-1007.1	11.12851262134799
116-1007.2	11.06930435434909
116-1007.4	10.46027027213626
116-1007.5	15.53970742277375
116-1008.4	11.26549674331989
116-1008.5	27.83158991074785
116-1009.1	17.16703680789308
116-1009.4	11.69839846351414
116-1009.5	20.88735952130444
116-1010.4	10.97348079392856
116-1011.1	28.76905709763778
116-1011.5	25.14598694056977
117-1945.1	20.19118306592397
117-1945.2	16.65944802454836
117-1945.3	16.8367056397023
117-1945.4	16.49164087353978
117-1945.6	22.80410363858797
120-2201.1	34.6656926575382
120-2201.3	17.86202772326652
120-2201.4	18.82392229635792
120-2203.1	13.0810113812553
120-2203.3	9.73202643481951
120-2203.U	9.349648863101747
120-2204.1	20.1432545482528
120-2204.2	19.89436123680753
120-2204.4	15.94742235679689
120-2204.5	12.16843316398479
120-2204.U	15.44421922591692
120-2205.1	22.35876734905499
122-1001.2	32.68643053801199
122-1002.1	54.2578202483632
122-1002.3	32.24137817900465
122-1002.4	27.90866645394465
122-1002.5	43.38853659599314
122-1002.7	50.34870520846915
122-1003.4	19.91005449287354
122-1003.6	23.89758533971584
122-1003.7	22.02719978436911
123-1001.1	26.12567621597507
123-1001.2	26.31434287163485
123-1001.3	22.91994744557834
123-1001.4	14.82881686806724
123-1001.6	28.52201844540953
123-1001.7	35.29075400898184
128-1001.2	23.37971176051925
128-1001.3	14.51472318450766
128-1001.4	12.69963496737404
128-1001.6	30.01849207516721
128-1001.7	13.74574284584958
128-1002.5	15.66320507544138
130-1001.2	24.35899400854384
130-1001.4	11.87956224668926
