"term","estimate","std.error","df","statistic","p.value","immune_product"
"treatment_groupCRS3123_400mg_po_bid:visitD4",-206.454910651582,716.663632122896,186.753966255142,-0.288077839306598,0.773606612005943,"IL-1b"
"treatment_groupVancomycin_125mg_po_qid:visitD4",1199.36791775805,669.893624953884,183.678573480731,1.79038562703238,0.0750389494577371,"IL-1b"
"treatment_groupCRS3123_400mg_po_bid:visitFUV1",-61.1842377518953,657.527739596805,182.332499575277,-0.0930519490925406,0.92596445620959,"IL-1b"
"treatment_groupVancomycin_125mg_po_qid:visitFUV1",1283.74368523908,648.370568091512,177.555030455836,1.97995366911517,0.0492537979844394,"IL-1b"
"treatment_groupCRS3123_400mg_po_bid:visitFUV2",-405.749849517787,657.527739596805,182.332499573093,-0.617084002823351,0.537949133134527,"IL-1b"
"treatment_groupVancomycin_125mg_po_qid:visitFUV2",987.398700535636,656.740036913,178.226956951768,1.50348485707814,0.134483957932719,"IL-1b"
"treatment_groupCRS3123_400mg_po_bid:visitFUV3",116.415136414869,719.770751138371,186.03398858162,0.161739187415924,0.87168676840001,"IL-1b"
"treatment_groupVancomycin_125mg_po_qid:visitFUV3",1618.78364540507,665.874778370225,180.350684169998,2.4310631638086,0.016033099272018,"IL-1b"
"treatment_groupCRS3123_400mg_po_bid:visitFUV4",-116.290729164245,704.974788843579,186.004816246927,-0.164957287841463,0.869156735071708,"IL-1b"
"treatment_groupVancomycin_125mg_po_qid:visitFUV4",1326.684027334,675.760667156895,181.214466166239,1.96324540893408,0.0511478680033034,"IL-1b"
"treatment_groupCRS3123_400mg_po_bid:visitScreening",-5.02709899064179,742.112606384045,189.257650387523,-0.00677403799288144,0.994602276030268,"IL-1b"
"treatment_groupVancomycin_125mg_po_qid:visitScreening",1183.25914147438,699.638181431004,180.735707762475,1.69124437870758,0.092513737887451,"IL-1b"
"(Intercept)",1.03160095525293,0.529289991466162,229.999999998537,1.94902788997642,0.0525079512066018,"IL-2"
"treatment_groupCRS3123_400mg_po_bid",2.24647348601281,0.802708015814202,229.999999995809,2.7986184786434,0.00556760629715901,"IL-2"
"treatment_groupVancomycin_125mg_po_qid",-0.471617680702328,0.763964297630909,229.999999995774,-0.617329477522494,0.537628102602719,"IL-2"
"visitD4",-0.702356921727325,0.802708015814203,229.99999999581,-0.874984312963301,0.38249522724888,"IL-2"
"visitFUV1",-0.858912220141859,0.763964297630908,229.999999997888,-1.12428319334475,0.262064905461676,"IL-2"
"visitFUV2",-0.680613935147593,0.763964297630908,229.999999995774,-0.890897568457336,0.373915117010957,"IL-2"
"visitFUV3",0.943015399061924,0.781813130520097,229.999999997768,1.2061902803226,0.228983400852229,"IL-2"
"visitFUV4",-0.859996484463314,0.802708015814203,229.999999997724,-1.07136900033445,0.285126470814531,"IL-2"
"visitScreening",-0.161109079416632,0.857547797238676,229.999999996511,-0.187871836340094,0.851142762995933,"IL-2"
"treatment_groupCRS3123_400mg_po_bid:visitD4",-2.29023678124291,1.18877688944972,229.999999996817,-1.92654887689065,0.0552681792748733,"IL-2"
"treatment_groupVancomycin_125mg_po_qid:visitD4",0.403714298553269,1.11862740205542,229.999999996908,0.360901492142483,0.718504347925858,"IL-2"
"treatment_groupCRS3123_400mg_po_bid:visitFUV1",-2.20159560198177,1.09907735977672,229.99999999753,-2.00313070085352,0.0463368188409523,"IL-2"
"treatment_groupVancomycin_125mg_po_qid:visitFUV1",0.566344790059903,1.09115927069863,229.999999998205,0.519030360890664,0.604238620062321,"IL-2"
"treatment_groupCRS3123_400mg_po_bid:visitFUV2",-2.42862945876939,1.09907735977672,229.99999999753,-2.20969837761264,0.0281119953972263,"IL-2"
"treatment_groupVancomycin_125mg_po_qid:visitFUV2",0.314629624011366,1.10372953074135,229.999999997927,0.285060438493512,0.775854358736008,"IL-2"
"treatment_groupCRS3123_400mg_po_bid:visitFUV3",-4.06269409291668,1.19610382664818,229.999999997991,-3.39660655070513,0.000803743922548902,"IL-2"
"treatment_groupVancomycin_125mg_po_qid:visitFUV3",-1.19612883647753,1.11615823252326,229.999999997284,-1.07164808861686,0.285001319574878,"IL-2"
"treatment_groupCRS3123_400mg_po_bid:visitFUV4",-2.25759039810565,1.17163334103491,229.99999999684,-1.92687449139294,0.0552273442183502,"IL-2"
"treatment_groupVancomycin_125mg_po_qid:visitFUV4",0.426005521332449,1.13089238552048,229.999999998624,0.376698549558618,0.706744933393589,"IL-2"
"treatment_groupCRS3123_400mg_po_bid:visitScreening",-2.0679070704001,1.22647403510481,229.999999997099,-1.68605858029712,0.0931405286700446,"IL-2"
"treatment_groupVancomycin_125mg_po_qid:visitScreening",0.14352460035931,1.17045531889292,229.999999997001,0.122622878500875,0.902512814784319,"IL-2"
"(Intercept)",0.15415899289016,0.337645007371416,192.212762648173,0.456571219845054,0.64849477523612,"IL-4"
"treatment_groupCRS3123_400mg_po_bid",0.0537267760737139,0.510971577165341,207.052225100559,0.105146310430353,0.916361501980102,"IL-4"
"treatment_groupVancomycin_125mg_po_qid",-0.102682951128006,0.487279214183661,193.548173208794,-0.210727131671379,0.833321892240641,"IL-4"
"visitD4",-0.123835578719656,0.490492341328038,124.684968338293,-0.252471992497097,0.801091991520767,"IL-4"
"visitFUV1",-0.116289297399447,0.465103437546799,115.024477066494,-0.250028892525108,0.803011010807134,"IL-4"
"visitFUV2",-0.110574165964916,0.465103437546799,115.024477076134,-0.237741020681641,0.812504927826892,"IL-4"
"visitFUV3",0.109913932931446,0.476974219087072,121.344668086786,0.230439987179645,0.81813794122313,"IL-4"
"visitFUV4",-0.145735019855845,0.490599736998024,125.873342828113,-0.297054826705771,0.766914296238836,"IL-4"
"visitScreening",0.221064952789712,0.525964817622328,133.67393477433,0.420303688351354,0.674938473248677,"IL-4"
"treatment_groupCRS3123_400mg_po_bid:visitD4",0.0392648100870366,0.728805393367633,134.711841250678,0.0538755756260303,0.95711411167933,"IL-4"
"treatment_groupVancomycin_125mg_po_qid:visitD4",0.0883545881703603,0.683159561599305,124.412831702447,0.129332286535694,0.897303581505286,"IL-4"
"treatment_groupCRS3123_400mg_po_bid:visitFUV1",-0.0648257914071353,0.670993307997963,123.069290079821,-0.096611680972729,0.923191931646839,"IL-4"
"treatment_groupVancomycin_125mg_po_qid:visitFUV1",0.0841549749193638,0.6638791120085,113.538451865726,0.126762498468676,0.899352597310992,"IL-4"
"treatment_groupCRS3123_400mg_po_bid:visitFUV2",1.2483659301618,0.670993307997963,123.069290103,1.86047448652885,0.0652053152673158,"IL-4"
"treatment_groupVancomycin_125mg_po_qid:visitFUV2",0.0717591619605908,0.672071793096732,115.355304997602,0.106773060107081,0.915154489552683,"IL-4"
